codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
1202;7143;1337;1197;1347;1429;1157;599;78;9358;26327;49829;74294;77514;49124;7411;293857,1;41
1203;1212;235;199;213;288;213;59;6;1644;4380;7877;14952;14259;4808;579;48499,3;40
1204;720;160;110;132;165;108;43;2;1120;2412;4897;8577;7213;3563;188;27969,4;39
1206;277;50;37;49;72;45;21;3;350;814;1813;3744;3015;1722;285;11743,0;42
1207;316;69;45;65;84;41;12;0;483;990;2405;4368;2747;984;0;11977,0;38
1208;124;18;11;26;21;27;19;2;128;233;960;1100;1803;1576;183;5982,8;48
1209;739;189;89;198;143;78;39;3;1323;1964;7310;7458;5219;3193;271;26738,9;36
1210;227;30;40;43;57;34;20;5;208;872;1577;2938;2258;1626;471;9950,3;44
1211;1405;280;193;278;313;245;90;6;1963;4238;10300;16259;16421;7360;575;57116,5;41
1212;735;154;110;142;152;110;62;5;1076;2421;5240;7903;7385;5107;485;29617,3;40
1213;1303;292;204;270;323;148;59;7;2044;4492;10000;16772;9913;4853;656;48729,8;37
1214;152;21;24;29;40;31;8;0;145;521;1059;2104;2050;647;0;6527,1;43
1215;131;22;16;27;36;18;12;0;154;358;988;1891;1213;949;0;5552,6;42
1216;889;155;92;168;152;209;90;23;1083;2018;6225;7912;13995;7407;2187;40825,9;46
1219;168;25;28;33;31;38;12;2;172;608;1213;1598;2539;1008;195;7333,6;44
1224;3146;783;499;755;554;414;128;13;5481;10978;27935;28808;27738;10496;1235;112671,0;36
1225;384;58;55;64;100;80;25;2;407;1205;2368;5190;5369;2051;197;16787,9;44
1227;644;146;75;132;145;99;38;8;1023;1661;4882;7549;6629;3123;778;25644,7;40
1228;635;118;99;117;153;104;41;2;828;2180;4343;7955;6962;3392;183;25843,5;41
1229;1216;242;214;226;232;201;92;10;1691;4713;8361;12056;13438;7540;929;48729,6;40
1230;313;58;34;61;70;69;21;2;403;743;2243;3617;4594;1711;189;13499,7;43
1231;1963;364;271;352;418;401;142;16;2545;5961;13006;21735;26858;11645;1531;83280,1;42
1232;2244;398;302;401;482;429;207;25;2786;6635;14854;25047;28733;16999;2389;97443,1;43
1233;131;26;12;27;26;23;16;1;182;264;999;1352;1541;1312;95;5745,0;44
1234;172;16;30;28;42;39;16;1;114;649;1054;2170;2591;1335;97;8010,7;47
1235;1112;259;195;258;176;124;90;11;1810;4284;9555;9131;8335;7360;1022;41495,6;37
1236;991;210;140;183;222;158;73;6;1468;3084;6782;11520;10574;5948;559;39934,1;40
1237;1654;353;275;303;389;254;76;4;2471;6050;11211;20228;17018;6232;380;63590,0;38
1238;2590;539;369;500;609;429;135;9;3773;8112;18508;31686;28768;11045;818;102711,0;40
1239;614;114;83;112;126;131;44;4;801;1816;4138;6539;8810;3598;389;26091,3;42
1240;641;131;70;132;170;98;36;4;915;1548;4867;8824;6595;2969;383;26100,9;41
1241;1335;241;158;262;298;270;93;12;1687;3486;9700;15520;18065;7665;1121;57244,7;43
1242;130;26;27;26;24;21;5;1;182;593;962;1252;1419;395;91;4894,7;38
1243;1224;229;176;205;306;226;78;5;1600;3868;7590;15899;15119;6408;464;50948,9;42
1244;7743;1617;1501;1475;1542;947;578;83;11322;33013;54568;80200;63431;47373;7927;297832,8;38
1245;913;209;120;173;182;156;66;8;1464;2635;6393;9444;10458;5394;746;36533,7;40
